query,true_urls,num_true,predicted_urls_top5,recall@1,hit@1,recall@3,hit@3,recall@5,hit@5,recall@10,hit@10,rr
Based on the JD below recommend me assessment for the Consultant position in my organizations. The a,"['https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/', 'https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/', 'https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/', 'https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/', 'https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/']",5,"['https://www.shl.com/solutions/products/product-catalog/view/consulting-analyst/', 'https://www.shl.com/solutions/products/product-catalog/view/customer-service/', 'https://www.shl.com/solutions/products/product-catalog/view/marketing-manager-complete/', 'https://www.shl.com/solutions/products/product-catalog/view/business-analyst-complete/', 'https://www.shl.com/solutions/products/product-catalog/view/manager-assessment/']",0.0,0,0.0,0,0.0,0,0.0,0,0.0
"Content Writer required, expert in English and SEO.","['https://www.shl.com/products/product-catalog/view/english-comprehension-new/', 'https://www.shl.com/solutions/products/product-catalog/view/drupal-new/', 'https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/', 'https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/', 'https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/']",5,"['https://www.shl.com/solutions/products/product-catalog/view/ux-designer-assessment/', 'https://www.shl.com/solutions/products/product-catalog/view/marketing-manager-complete/', 'https://www.shl.com/solutions/products/product-catalog/view/consulting-analyst/', 'https://www.shl.com/solutions/products/product-catalog/view/business-analyst-complete/', 'https://www.shl.com/solutions/products/product-catalog/view/software-testing-qa/']",0.0,0,0.0,0,0.0,0,0.0,0,0.0
"Find me 1 hour long assesment for the below job at SHL
Job Description

 Join a community that is sh","['https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/', 'https://www.shl.com/products/product-catalog/view/professional-7-1-solution/', 'https://www.shl.com/solutions/products/product-catalog/view/javascript-new/', 'https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/', 'https://www.shl.com/solutions/products/product-catalog/view/css3-new/', 'https://www.shl.com/solutions/products/product-catalog/view/selenium-new/', 'https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/', 'https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/', 'https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/']",9,"['https://www.shl.com/solutions/products/product-catalog/view/software-testing-qa/', 'https://www.shl.com/solutions/products/product-catalog/view/software-engineer-complete/', 'https://www.shl.com/solutions/products/product-catalog/view/devops-engineer-complete/', 'https://www.shl.com/solutions/products/product-catalog/view/technology-professional-assessment/', 'https://www.shl.com/solutions/products/product-catalog/view/full-stack-development/']",0.0,0,0.0,0,0.0,0,0.0,0,0.0
I am hiring for Java developers who can also collaborate effectively with my business teams. Looking,"['https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/', 'https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/', 'https://www.shl.com/solutions/products/product-catalog/view/java-8-new/', 'https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/', 'https://www.shl.com/products/product-catalog/view/interpersonal-communications/']",5,"['https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/', 'https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/', 'https://www.shl.com/solutions/products/product-catalog/view/java-8-new/', 'https://www.shl.com/solutions/products/product-catalog/view/software-testing-qa/', 'https://www.shl.com/solutions/products/product-catalog/view/software-engineer-complete/']",0.2,1,0.6,1,0.6,1,0.6,1,1.0
I am looking for a COO for my company in China and I want to see if they are culturally a right fit ,"['https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/', 'https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/', 'https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/', 'https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report', 'https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/', 'https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/']",6,"['https://www.shl.com/solutions/products/product-catalog/view/cultural-fit-assessment/', 'https://www.shl.com/solutions/products/product-catalog/view/customer-service/', 'https://www.shl.com/solutions/products/product-catalog/view/sjt-leadership/', 'https://www.shl.com/solutions/products/product-catalog/view/managerial-judgment/', 'https://www.shl.com/solutions/products/product-catalog/view/leadership-potential/']",0.0,0,0.0,0,0.0,0,0.0,0,0.0
"I want to hire a Senior Data Analyst with 5 years of experience and expertise in SQL, Excel and Pyth","['https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/', 'https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/', 'https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/', 'https://www.shl.com/solutions/products/product-catalog/view/python-new/', 'https://www.shl.com/solutions/products/product-catalog/view/tableau-new/', 'https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/', 'https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/', 'https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/', 'https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/', 'https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/']",10,"['https://www.shl.com/solutions/products/product-catalog/view/data-analyst-complete/', 'https://www.shl.com/solutions/products/product-catalog/view/consulting-analyst/', 'https://www.shl.com/solutions/products/product-catalog/view/business-analyst-complete/', 'https://www.shl.com/solutions/products/product-catalog/view/database-administration/', 'https://www.shl.com/solutions/products/product-catalog/view/business-acumen/']",0.0,0,0.0,0,0.0,0,0.0,0,0.0
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for eac","['https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/', 'https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/', 'https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/', 'https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/', 'https://www.shl.com/products/product-catalog/view/business-communication-adaptive/', 'https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/', 'https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/', 'https://www.shl.com/products/product-catalog/view/interpersonal-communications/', 'https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/']",9,"['https://www.shl.com/solutions/products/product-catalog/view/business-acumen/', 'https://www.shl.com/solutions/products/product-catalog/view/software-testing-qa/', 'https://www.shl.com/solutions/products/product-catalog/view/sales-assessment/', 'https://www.shl.com/solutions/products/product-catalog/view/graduate-assessment/', 'https://www.shl.com/solutions/products/product-catalog/view/marketing-manager-complete/']",0.0,0,0.0,0,0.0,0,0.0,0,0.0
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long","['https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/', 'https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/', 'https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/', 'https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/', 'https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/', 'https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/']",6,"['https://www.shl.com/solutions/products/product-catalog/view/database-administration/', 'https://www.shl.com/solutions/products/product-catalog/view/software-testing-qa/', 'https://www.shl.com/solutions/products/product-catalog/view/finance-professional/', 'https://www.shl.com/solutions/products/product-catalog/view/business-acumen/', 'https://www.shl.com/solutions/products/product-catalog/view/full-stack-development/']",0.0,0,0.0,0,0.0,0,0.0,0,0.0
"KEY RESPONSIBITILES:

Manage the sound-scape of the station through appropriate creative and marketi","['https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/', 'https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/', 'https://www.shl.com/solutions/products/product-catalog/view/marketing-new/', 'https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/', 'https://www.shl.com/products/product-catalog/view/interpersonal-communications/']",5,"['https://www.shl.com/solutions/products/product-catalog/view/marketing-manager-complete/', 'https://www.shl.com/solutions/products/product-catalog/view/manager-assessment/', 'https://www.shl.com/solutions/products/product-catalog/view/customer-service/', 'https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/', 'https://www.shl.com/solutions/products/product-catalog/view/coaching-orientation/']",0.0,0,0.0,0,0.0,0,0.0,0,0.0
"We're looking for a Marketing Manager who can drive Recro’s brand positioning, community growth, and","['https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/', 'https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/', 'https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/', 'https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/', 'https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/']",5,"['https://www.shl.com/solutions/products/product-catalog/view/marketing-manager-complete/', 'https://www.shl.com/solutions/products/product-catalog/view/product-manager-assessment/', 'https://www.shl.com/solutions/products/product-catalog/view/manager-assessment/', 'https://www.shl.com/solutions/products/product-catalog/view/ux-designer-assessment/', 'https://www.shl.com/solutions/products/product-catalog/view/sales-assessment/']",0.0,0,0.0,0,0.0,0,0.0,0,0.0
